#STEM=missing_fw_configs
#VERSION=v20260715
#SOURCE=fw-inv-3-26.csv (748 devices) cross-referenced against fw_config_manifest_v20260715.csv (940 files / 703-device estate)
#ROWS=292
#NOTE=Matching is hostname-based (exact + substring, domain-suffix stripped). Devices with blank hostname in inventory were skipped, not counted as missing.
hostname,ip,vendor,model,tenant,category,status,decommission_status,manager,gap_reason
aln-fw-westcorp-a,10.108.188.11,checkpoint,5000 Appliances,HCB,Physical,communicating,2026,domain_grp2,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
aln-fw-westcorp-b,10.108.188.12,checkpoint,5000 Appliances,HCB,Physical,communicating,2026,domain_grp2,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
btn-fw-walmart-a,10.106.244.21,checkpoint,3000 Appliances,HCB,Physical,communicating,2026,domain_grp2,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
btn-fw-walmart-b,10.106.244.22,checkpoint,3000 Appliances,HCB,Physical,communicating,2026,domain_grp2,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
cae-fw-emrqacloud-a,10.208.194.211,checkpoint,Other,HCB,Virtual,communicating,2025,domain_grp3,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
cae-fw-emrqacloud-b,10.208.194.212,checkpoint,Other,HCB,Virtual,communicating,2025,domain_grp3,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
cae-fw-qasvc1c-a,10.208.211.11,checkpoint,Other,HCB,Virtual,communicating,2025,domain_grp3,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
cae-fw-qasvc1c-b,10.208.211.12,checkpoint,Other,HCB,Virtual,communicating,2025,domain_grp3,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
cmc-fw-hubprodglr-a,10.159.5.5,checkpoint,Other,HCB,Virtual,communicating,2026,domain_grp3,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
cmc-fw-hubprodglr-b,10.159.5.6,checkpoint,Other,HCB,Virtual,communicating,2026,domain_grp3,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
cme-fw-hubnonprod-a,10.159.69.5,checkpoint,Other,HCB,Virtual,communicating,2026,domain_grp3,CHECKPOINT — config not collected (some Checkpoint devices ARE collected; this one is not)
